industry_name,industry,year,emp_years_name,emp_years,sexs_name,sexs,WORKERCNT
"인쇄 및 기록매체 복제업","C18","2020","5~10","YEARS4","여","2",1091.0
"인쇄 및 기록매체 복제업","C18","2020","10~","YEARS5","여","2",1696.0
"코크스, 연탄 및 석유정제품 제조업","C19","2020","~1","YEARS1","남","1",668.0
"코크스, 연탄 및 석유정제품 제조업","C19","2020","1~3","YEARS2","남","1",1409.0
"코크스, 연탄 및 석유정제품 제조업","C19","2020","3~5","YEARS3","남","1",983.0
"코크스, 연탄 및 석유정제품 제조업","C19","2020","5~10","YEARS4","남","1",2215.0
"코크스, 연탄 및 석유정제품 제조업","C19","2020","10~","YEARS5","남","1",6332.0
"코크스, 연탄 및 석유정제품 제조업","C19","2020","~1","YEARS1","여","2",144.0
"코크스, 연탄 및 석유정제품 제조업","C19","2020","1~3","YEARS2","여","2",199.0
"코크스, 연탄 및 석유정제품 제조업","C19","2020","3~5","YEARS3","여","2",125.0
"코크스, 연탄 및 석유정제품 제조업","C19","2020","5~10","YEARS4","여","2",239.0
"코크스, 연탄 및 석유정제품 제조업","C19","2020","10~","YEARS5","여","2",171.0
"화학물질 및 화학제품 제조업;의약품 제외","C20","2020","~1","YEARS1","남","1",13657.0
"화학물질 및 화학제품 제조업;의약품 제외","C20","2020","1~3","YEARS2","남","1",21863.0
"화학물질 및 화학제품 제조업;의약품 제외","C20","2020","3~5","YEARS3","남","1",14528.0
"화학물질 및 화학제품 제조업;의약품 제외","C20","2020","5~10","YEARS4","남","1",26045.0
"화학물질 및 화학제품 제조업;의약품 제외","C20","2020","10~","YEARS5","남","1",48481.0
"화학물질 및 화학제품 제조업;의약품 제외","C20","2020","~1","YEARS1","여","2",4638.0
"화학물질 및 화학제품 제조업;의약품 제외","C20","2020","1~3","YEARS2","여","2",8923.0
"화학물질 및 화학제품 제조업;의약품 제외","C20","2020","3~5","YEARS3","여","2",5091.0
"화학물질 및 화학제품 제조업;의약품 제외","C20","2020","5~10","YEARS4","여","2",7074.0
"화학물질 및 화학제품 제조업;의약품 제외","C20","2020","10~","YEARS5","여","2",6425.0
"의료용 물질 및 의약품 제조업","C21","2020","~1","YEARS1","남","1",3910.0
"의료용 물질 및 의약품 제조업","C21","2020","1~3","YEARS2","남","1",7618.0
