year,geo_name,geo,industry_name,industry,EMP_DD_5,EMP_DD_6
"2015","전국","01000KR","영상·오디오 기록물 제작 및 배급업","J59",820.0,2.8
"2015","전국","01000KR","방송업","J60",222.0,0.8
"2015","전국","01000KR","통신업","J61",610.0,1.3
"2015","전국","01000KR","컴퓨터 프로그래밍, 시스템 통합 및 관리업","J62",2152.0,2.3
"2015","전국","01000KR","정보서비스업","J63",836.0,2.3
"2015","전국","01000KR","금융 및 보험업","K",5879.0,1.3
"2015","전국","01000KR","금융업","K64",2392.0,0.9
"2015","전국","01000KR","보험 및 연금업","K65",788.0,0.7
"2015","전국","01000KR","금융 및 보험 관련 서비스업","K66",2699.0,2.8
"2015","전국","01000KR","부동산업 및 임대업","L",2348.0,0.9
"2015","전국","01000KR","부동산업","L68",1704.0,0.7
"2015","전국","01000KR","임대업(부동산 제외)","L69",644.0,3.6
"2015","전국","01000KR","전문, 과학 및 기술 서비스업","M",13461.0,1.9
"2015","전국","01000KR","연구개발업","M70",2378.0,1.5
"2015","전국","01000KR","전문서비스업","M71",5886.0,1.9
"2015","전국","01000KR","건축기술, 엔지니어링 및 기타 과학기술 서비스업","M72",4338.0,1.9
"2015","전국","01000KR","기타 전문, 과학 및 기술 서비스업","M73",859.0,3.6
"2015","전국","01000KR","사업시설관리 및 사업지원 서비스업","N",23829.0,2.7
"2015","전국","01000KR","사업시설 관리 및 조경 서비스업","N74",5030.0,2.2
"2015","전국","01000KR","사업지원 서비스업","N75",18799.0,2.9
"2015","전국","01000KR","교육 서비스업","P",8649.0,0.8
"2015","전국","01000KR","교육 서비스업","P85",8649.0,0.8
"2015","전국","01000KR","보건업 및 사회복지 서비스업","Q",23162.0,2.3
"2015","전국","01000KR","보건업","Q86",13362.0,2.2
"2015","전국","01000KR","사회복지 서비스업","Q87",9800.0,2.4
"2015","전국","01000KR","예술, 스포츠 및 여가관련 서비스업","R",2390.0,1.7
"2015","전국","01000KR","창작, 예술 및 여가관련 서비스업","R90",736.0,2.7
"2015","전국","01000KR","스포츠 및 오락관련 서비스업","R91",1655.0,1.5
"2015","전국","01000KR","협회 및 단체, 수리  및 기타 개인 서비스업","S",9486.0,3.2
"2015","전국","01000KR","협회 및 단체","S94",1392.0,1.7
"2015","전국","01000KR","수리업","S95",2911.0,2.6
"2015","전국","01000KR","기타 개인 서비스업","S96",5183.0,5.0
"2016","전국","01000KR","전체","0",283401.0,2.5
"2016","전국","01000KR","광업","B",128.0,1.0
"2016","전국","01000KR","석탄, 원유 및 천연가스 광업","B05",3.0,0.1
"2016","전국","01000KR","금속 광업","B06",0.0,0.0
"2016","전국","01000KR","비금속광물 광업;연료용 제외","B07",125.0,1.4
"2016","전국","01000KR","광업 지원 서비스업","B08",0.0,0.0
"2016","전국","01000KR","제조업","C",88550.0,2.7
"2016","전국","01000KR","식료품 제조업","C10",9387.0,4.5
"2016","전국","01000KR","음료 제조업","C11",109.0,1.0
"2016","전국","01000KR","담배 제조업","C12",20.0,1.4
"2016","전국","01000KR","섬유제품 제조업; 의복제외","C13",3035.0,2.9
"2016","전국","01000KR","의복, 의복액세서리 및 모피제품 제조업","C14",1855.0,2.5
"2016","전국","01000KR","가죽, 가방 및 신발 제조업","C15",255.0,1.3
"2016","전국","01000KR","목재 및 나무제품 제조업;가구제외","C16",1164.0,5.1
"2016","전국","01000KR","펄프, 종이 및 종이제품 제조업","C17",1916.0,3.0
"2016","전국","01000KR","인쇄 및 기록매체 복제업","C18",809.0,2.3
"2016","전국","01000KR","코크스, 연탄 및 석유정제품 제조업","C19",26.0,0.3
"2016","전국","01000KR","화학물질 및 화학제품 제조업;의약품 제외","C20",4304.0,2.9
"2016","전국","01000KR","의료용 물질 및 의약품 제조업","C21",726.0,2.0
"2016","전국","01000KR","고무제품 및 플라스틱제품 제조업","C22",8062.0,3.2
"2016","전국","01000KR","비금속 광물제품 제조업","C23",3694.0,3.7
"2016","전국","01000KR","1차 금속 제조업","C24",3210.0,2.1
"2016","전국","01000KR","금속가공제품 제조업;기계 및 가구 제외","C25",11756.0,3.6
"2016","전국","01000KR","전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업","C26",6492.0,1.5
"2016","전국","01000KR","의료, 정밀, 광학기기 및 시계 제조업","C27",2166.0,2.2
"2016","전국","01000KR","전기장비 제조업","C28",5332.0,2.6
"2016","전국","01000KR","기타 기계 및 장비 제조업","C29",13471.0,3.6
"2016","전국","01000KR","자동차 및 트레일러 제조업","C30",5002.0,1.4
"2016","전국","01000KR","기타 운송장비 제조업","C31",2739.0,1.6
"2016","전국","01000KR","가구 제조업","C32",1697.0,3.8
"2016","전국","01000KR","기타 제품 제조업","C33",1324.0,4.3
"2016","전국","01000KR","전기, 가스, 증기 및 수도사업","D",989.0,1.6
"2016","전국","01000KR","전기, 가스, 증기 및 공기조절 공급업","D35",916.0,1.6
"2016","전국","01000KR","수도사업","D36",73.0,1.1
"2016","전국","01000KR","하수·폐기물 처리, 원료재생 및 환경복원업","E",1260.0,1.9
"2016","전국","01000KR","하수, 폐수 및 분뇨 처리업","E37",65.0,0.7
"2016","전국","01000KR","폐기물 수집운반, 처리 및 원료재생업","E38",1195.0,2.1
"2016","전국","01000KR","환경 정화 및 복원업","E39",0.0,0.0
"2016","전국","01000KR","건설업","F",18234.0,2.1
"2016","전국","01000KR","종합 건설업","F41",4393.0,1.5
"2016","전국","01000KR","전문직별 공사업","F42",13841.0,2.4
"2016","전국","01000KR","도매 및 소매업","G",29528.0,2.8
"2016","전국","01000KR","자동차 및 부품 판매업","G45",839.0,1.7
"2016","전국","01000KR","도매 및 상품중개업","G46",17681.0,2.7
