,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용자 제한,주소2,위도,경도
98,한국전력,식사동 일산자이2단지 아파트,6,AC완속,경기도,고양시,경기도 고양시 일산동구 식사동 350,시설 상황에 따라 이용이 제한될 수 있음,산동구 식사동 350,37.67880307,126.8158755
99,한국전력,식사동 일산자이2단지 아파트,7,AC완속,경기도,고양시,경기도 고양시 일산동구 식사동 350,시설 상황에 따라 이용이 제한될 수 있음,산동구 식사동 350,37.67880307,126.8158755
100,한국전력,양지마을 5단지 건영빌라,1,AC완속,경기도,고양시,경기도 고양시 일산동구 정발산동 대산로 30,입주자외 출입제한 (긴급상황 이용가능),산동구 정발산동 대산로 30,37.67054232,126.77332
101,한국전력,양지마을 5단지 건영빌라,2,AC완속,경기도,고양시,경기도 고양시 일산동구 정발산동 대산로 30,입주자외 출입제한 (긴급상황 이용가능),산동구 정발산동 대산로 30,37.67054232,126.77332
102,한국전력,양지마을 5단지 건영빌라,3,AC완속,경기도,고양시,경기도 고양시 일산동구 정발산동 대산로 30,입주자외 출입제한 (긴급상황 이용가능),산동구 정발산동 대산로 30,37.67054232,126.77332
103,한국전력,옥빛16단지입주자,1,AC완속,경기도,고양시,경기도 고양시 덕양구 화정동 백양로 15,입주자외 출입제한 (긴급상황 이용가능),양구 화정동 백양로 15,37.62744665,126.8325473
104,한국전력,옥빛16단지입주자,2,AC완속,경기도,고양시,경기도 고양시 덕양구 화정동 백양로 15,입주자외 출입제한 (긴급상황 이용가능),양구 화정동 백양로 15,37.62744665,126.8325473
105,한국전력,원당 래미안휴레스트 아파트,1,DC차데모+AC3상+DC콤보,경기도,고양시,경기 고양시 덕양구 호국로 860,시설 상황에 따라 이용이 제한될 수 있음,양구 성사동 호국로 863,37.6612179,126.8367723
106,한국전력,원당 래미안휴레스트 아파트,2,DC차데모+AC3상+DC콤보,경기도,고양시,경기 고양시 덕양구 호국로 860,시설 상황에 따라 이용이 제한될 수 있음,양구 성사동 호국로 863,37.6612179,126.8367723
107,한국전력,원당 래미안휴레스트 아파트,3,AC완속,경기도,고양시,경기 고양시 덕양구 호국로 860,시설 상황에 따라 이용이 제한될 수 있음,양구 성사동 호국로 863,37.6612179,126.8367723
108,한국전력,원당 래미안휴레스트 아파트,4,AC완속,경기도,고양시,경기 고양시 덕양구 호국로 860,시설 상황에 따라 이용이 제한될 수 있음,양구 성사동 호국로 863,37.6612179,126.8367723
109,한국전력,원당e-편한세상 아파트,1,DC차데모+AC3상+DC콤보,경기도,고양시,경기도 고양시 덕양구 성사동 호국로 859,시설 상황에 따라 이용이 제한될 수 있음,양구 성사동 호국로 859,37.65956482,126.8385673
110,한국전력,원당e-편한세상 아파트,2,AC완속,경기도,고양시,경기도 고양시 덕양구 성사동 호국로 859,시설 상황에 따라 이용이 제한될 수 있음,양구 성사동 호국로 859,37.65956482,126.8385673
111,한국전력,원당e-편한세상 아파트,3,AC완속,경기도,고양시,경기도 고양시 덕양구 성사동 호국로 859,시설 상황에 따라 이용이 제한될 수 있음,양구 성사동 호국로 859,37.65956482,126.8385673
112,한국전력,원당e-편한세상 아파트,4,AC완속,경기도,고양시,경기도 고양시 덕양구 성사동 호국로 859,시설 상황에 따라 이용이 제한될 수 있음,양구 성사동 호국로 859,37.65956482,126.8385673
113,한국전력,원당e-편한세상 아파트,5,AC완속,경기도,고양시,경기도 고양시 덕양구 성사동 호국로 859,시설 상황에 따라 이용이 제한될 수 있음,양구 성사동 호국로 859,37.65956482,126.8385673
114,한국전력,원흥도래울6단지,1,DC차데모+AC3상+DC콤보,경기도,고양시,경기도 고양시 덕양구 도내동 1103,입주자외 출입제한 (긴급상황 이용가능),양구 도내동 1103,37.62700012,126.8687048
115,한국전력,원흥도래울6단지,2,AC완속,경기도,고양시,경기도 고양시 덕양구 도내동 1103,입주자외 출입제한 (긴급상황 이용가능),양구 도내동 1103,37.62700012,126.8687048
116,한국전력,원흥도래울6단지,3,AC완속,경기도,고양시,경기도 고양시 덕양구 도내동 1103,입주자외 출입제한 (긴급상황 이용가능),양구 도내동 1103,37.62700012,126.8687048
117,한국전력,원흥도래울6단지,4,AC완속,경기도,고양시,경기도 고양시 덕양구 도내동 1103,입주자외 출입제한 (긴급상황 이용가능),양구 도내동 1103,37.62700012,126.8687048
118,한국전력,원흥도래울6단지,5,AC완속,경기도,고양시,경기도 고양시 덕양구 도내동 1103,입주자외 출입제한 (긴급상황 이용가능),양구 도내동 1103,37.62700012,126.8687048
