,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용자 제한,lat,lng
462,차지비,벽산2차아파트,4,AC완속,부산광역시,해운대구,부산광역시 해운대구 좌동순환로299번길 11 (좌동     벽산2차아파트),제한없음,35.16957101,129.1850488
463,차지비,벽산2차아파트,5,AC완속,부산광역시,해운대구,부산광역시 해운대구 좌동순환로299번길 11 (좌동     벽산2차아파트),제한없음,35.16957101,129.1850488
464,차지비,부경대학교,1,AC완속,부산광역시,남구,"부산광역시 남구 용소로 45 (대연동, 부경대학교대연캠퍼스)",제한없음,35.13117521,129.1048655
465,차지비,부경대학교,2,AC완속,부산광역시,남구,"부산광역시 남구 용소로 45 (대연동, 부경대학교대연캠퍼스)",제한없음,35.13117521,129.1048655
466,차지비,부곡SK아파트,1,AC완속,부산광역시,금정구,"부산광역시 금정구 수림로 12 (부곡동, 에스케이아파트) 101동~111동",제한없음,35.24056974,129.0923931
467,차지비,부곡SK아파트,2,AC완속,부산광역시,금정구,"부산광역시 금정구 수림로 12 (부곡동, 에스케이아파트) 101동~111동",제한없음,35.24056974,129.0923931
468,차지비,부곡SK아파트,3,AC완속,부산광역시,금정구,"부산광역시 금정구 수림로 12 (부곡동, 에스케이아파트) 101동~111동",제한없음,35.24056974,129.0923931
469,차지비,부곡SK아파트,4,AC완속,부산광역시,금정구,"부산광역시 금정구 수림로 12 (부곡동, 에스케이아파트) 101동~111동",제한없음,35.24056974,129.0923931
470,차지비,부곡동대동다숲아파트,1,AC완속,부산광역시,금정구,"부산광역시 금정구 부곡로 32-12 (부곡동, 대동다숲아파트)(788 (대동다숲아파트))",제한없음,35.21886438,129.0892214
471,차지비,부곡동대동다숲아파트,2,AC완속,부산광역시,금정구,"부산광역시 금정구 부곡로 32-12 (부곡동, 대동다숲아파트)(788 (대동다숲아파트))",제한없음,35.21886438,129.0892214
472,차지비,부곡동대동다숲아파트,3,AC완속,부산광역시,금정구,"부산광역시 금정구 부곡로 32-12 (부곡동, 대동다숲아파트)(788 (대동다숲아파트))",제한없음,35.21886438,129.0892214
